company_name,show_name,booth_no,show_type,product_name,company_url,country,country_code,country_code_lower,flag_url,region
ChemCon,Bio Pharma,3F-22,Bio Pharma,not provided,detail.php?exid=CF24127250&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
ChemCon,Bio Pharma,3F-22,Bio Pharma,not provided,detail.php?exid=CF24127250&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
CHEMELECTIVA srl,Ingredients,IT-07,Ingredients,not provided,detail.php?exid=CF23156919&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
CHEMI SPA,Ingredients,IT-03,Ingredients,not provided,detail.php?exid=CF23128268&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
"Chemicals Evaluation and Research Institute, Japan",Outsourcing,1A-44,Outsourcing,not provided,detail.php?exid=C14017525&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Amobarbital Sodium,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Amobarbital Sodium,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Barbital,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Barbital,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Barbital Sodium,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Barbital Sodium,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
