company_name,show_name,booth_no
"SHANDONG OUCHEM CO., LTD.",Ingredients,1H-45
"Shandong Shining Pharm Co., Ltd.",Ingredients,3C-21
Shandong Xingshun New Material Co Ltd,Ingredients,2K-31
"Shandong Yanggu Liya New Material Co., Ltd.",Ingredients,3A-22
Shanghai Chemspec Corporation,Ingredients,2B-01
"Shanghai Chenpu Biotech Co., Ltd.",Ingredients,2H-24
"Shanghai Domen International Co., Ltd.",Ingredients,1H-44
"Shanghai Eyougene Biotechnology Development Co., Ltd.",Outsourcing,1C-24
"Shanghai Fuxin Pharmaceutical Co., Ltd.",Ingredients,2J-27
"Shanghai Haoyuan Chemexpress Co., Ltd.",Ingredients,1E-42
"Shanghai Hohance Chemical Co.,Ltd.",Ingredients,1E-01
Shanghai Pharma Group Changzhou Kony Pharmaceutical,Ingredients,3B-36
"Shanghai Rui Yun Chemical Technology Co., Ltd",Ingredients,2K-19
"Shanghai Sinofluoro Chemicals Co., Ltd.",Ingredients,2G-02
"Shanghai Tajilin Industrial Co.,Ltd",Ingredients,3B-22
"Shanghai Record Pharmaceutials Co,.Ltd",Ingredients,2K-20
"Shanxi Xintianyuan Pharmaceutical Co., Ltd",Ingredients,2H-26
"Shaoxing Zejun Pharmaceuticals Co., Ltd",Ingredients,3A-20
Shenyang Photosensitive Chemical Research Institute,Ingredients,3A-36
"Shenzhen China Resources Gosun Pharmaceuticals Co., Ltd",Ingredients,3C-29
"Shenzhen JYMed Technology Co.,Ltd.",Outsourcing,1A-01
"Shijiazhuang Jirong Pharmaceutical Co.,Ltd",Ingredients,3C-22
"Shijiazhuang Lonzeal Pharmaceuticals Co., Ltd",Ingredients,3F-44
Shilpa Medicare,Ingredients,3D-36
"Shima Trading Co.,Ltd.",Ingredients,1J-37
"Shin Nippon Yakugyo Co., Ltd.",Ingredients,1F-38
"Shin-Etsu Chemical Co.,Ltd.",Ingredients,1J-35
"Shinritsu Chemical Co.,Ltd",Outsourcing,1B-26
